Classe;Navio;Bandeira;Nav;Cheg/Arrival;Carimbo;Agência;Operaç;Mercadoria;DUV;Prioridade;Terminal;Com/Len;Cal/Draft;Peso;Viagem
LIQUIDO A GRANEL;T JUNGFRAU;ILHAS MARSHALL;Long;31/5/22 8:00;2096-6;NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP;DESC;GASOLINA COMUM;218692022;B;ALAMOA;195;8;3290;2240-0
LIQUIDO A GRANEL;STOLT BOBCAT;LIBERIANA;Long;28/6/22 0:50;2499-6;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;GRAN.LIQUIDO NAO ESPECIF;258822022;B;ALA.-I.B.;155;8;850;2606-4
LIQUIDO A GRANEL;FLUMAR BRASIL;BRASILEIRA;Cabo;29/6/22 6:28;2516-0;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;DESC;OLEO LUBRIFICANTE;246002022;B;ALAMOA;183;9;5000;2366-3
LIQUIDO A GRANEL;MAERSK KALEA;SINGAPURENSE;Cabo;6/7/22 15:00;2634-4;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;OLEO DIESEL;278842022;B;ALAMOA;174;10.2;25000;2670-4
LIQUIDO A GRANEL;ROMOE MAERSK;DINAMARQUESA;Cabo;7/7/22 2:30;2641-7;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;OLEO DIESEL;287082022;B;ALAMOA;171;9.5;20000;2784-0
LIQUIDO A GRANEL;MARLIN AZURITE;ILHAS MARSHALL;Long;7/7/22 9:00;2643-3;ISS MARINE SERVICES LTDA.;DESC;OLEO DIESEL;271802022;B;ALAMOA;183;8.7;27250;2761-0
LIQUIDO A GRANEL;SOUTHERN QUOKKA;LIBERIANA;Long;8/7/22 9:00;2660-3;AMART SERVICES CONSULT AG MARITIMO E TRANSP LTDA;EMB;PRODUTOS QUIMICOS;282692022;B;ALAMOA;157;6;20145;2759-5
LIQUIDO A GRANEL;ANITA GARIBALDI;BRASILEIRA;Cabo;8/7/22 17:35;2671-9;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;OLEO COMBUSTIVEL;291262022;B;ALAMOA;228;11;60000;2828-7
LIQUIDO A GRANEL;HAFNIA AXINITE;ILHAS MARSHALL;Long;9/7/22 7:40;2683-2;NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP;EMB;PRODUTOS QUIMICOS;272632022;B;ALAMOA;184;7.9;3675;2795-1
LIQUIDO A GRANEL;SAKURA BELLE;PANAMENHA;Long;9/7/22 8:00;2678-6;WAYPOINT AGENCIA MARITIMA LTDA;DESC;GRAN.LIQUIDO NAO ESPECIF;281422022;B;ALAMOA;170;8.5;12000;2735-9
LIQUIDO A GRANEL;AMAZON VICTORY;GREGA;Cabo;9/7/22 17:00;2686-7;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;OLEO COMBUSTIVEL;291412022;B;ALAMOA;228;10;62000;2827--
LIQUIDO A GRANEL;GOBY;VIETINAMITA;Long;10/7/22 16:15;2698--;RENASCIMENTO AGENCIAMENTOS & SHIPPING SERVICES LTDA;EMB;ETHANOL;280612022;SP;ALA.-I.B.;146;7;3230;2760-3
LIQUIDO A GRANEL;ALESSANDRO VOLTA;ITALIANA;Cabo;12/7/22 0:00;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;DESC;GAS LIQUEFEITO;278532022;B;ALAMOA;180;6.7;17000;2671--
LIQUIDO A GRANEL;CUMBIA 1;ILHAS MARSHALL;Cabo;12/7/22 0:00;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;OLEO COMBUSTIVEL;250542022;B;ALAMOA;183;10;25000;2412-5
LIQUIDO A GRANEL;ENDLESS SUMMER;ILHAS MARSHALL;Cabo;12/7/22 0:00;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;GASOLINA COMUM;296722022;B;ALAMOA;183;7;25000;2878-4
LIQUIDO A GRANEL;ENDLESS SUMMER;ILHAS MARSHALL;Cabo;12/7/22 0:00;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;GASOLINA COMUM;193912022;B;ALAMOA;183;7;29000;1836-6
LIQUIDO A GRANEL;FLUMAR BRASIL;BRASILEIRA;Cabo;12/7/22 0:00;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;GASOLINA COMUM;188202022;B;ALAMOA;183;9;25000;1762-2
LIQUIDO A GRANEL;JORGE AMADO;BRASILEIRA;Cabo;12/7/22 0:00;;CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.;EMB;GASOLINA COMUM;80222022;B;ALAMOA;100;5;2000;0725-6
